بزغاله بودن ، بهتر از حرامزاده بودن است	Ardalan	ardalanmusavi	UK			
نمیخوام اینجوری باشم ولی دلم گرفته اس و ناراحتم به جورایی کلافه ام	Farideh MJ	FaridehMJ	IRAN/Mashhad			
معرفی یک سایت	nejatbahrami	nejatbahrami	iran			http://t.co/guhvtzKO
امروز سالگرد درگذشت کارل پوپر است via	nejatbahrami	nejatbahrami	iran		@wordpressdotcom	http://t.co/lI8pZaU4
گفتی که ترابه خواب دیدم شبِ دوش بنواز به پاسخی مرا زان لبِ نوش من وا کردم بغل ز شادی، یاتو؟ یا هردو	kawa	kawasafa	not-given			http://t.co/JNF1K5VI
آدمی را که بخت بر گردد اسبش اندر طویله خر گردد گر عروسی کند به شهر زنان شب اول عروس نر گردد	khoonbazi	bame_tehran	not-given			
از قدیم گفتن در کستو گل بگیر پسرهای مادرجنده مردمو دزد نکن	khoonbazi	bame_tehran	not-given			
تو را میسپارم به خاطرات کیریم عشق دیروز من ان امروز من	khoonbazi	bame_tehran	not-given			
آقا ﻿ خانم، با توام به سختی‌های زندگی لبخند نزنید، تو رو جون هرکی دوس دارید نزنید، خدا شاکی میشه خنده خنده میزنه رسماً سرویستون میکنه	Mostafa Ansari Jbr	mostafansrjbr	Iran/Shiraz			
گاهی به ائمه‌ی معصومین متوسل می‌شد، و گاهی هم به عمه‌ی معصومین	Mostafa Ansari Jbr	mostafansrjbr	Iran/Shiraz			http://ff.im/-mWp8k
چطوری نخاله ؟ دی	mani	manigh	iran		@MiladZ	
با من از سایه نگو ، خوشید فردا مال ماست ، تو که باوم کنی عشق یه دنیا مال ماست	Po0¥à	pouya	shiraz	#fb		
نمردیم و معنی برنامه نویسی و طراحی حرفه ای هم فهمیدیم	Po0¥à	pouya	shiraz			
آهای روزگار اشتباهی اومدی نشستی روی اعصاب ما نیگا دستشویی چند قدم اون طرف تره	AbeL	_Nima	Bandar-e-Abbas			
جي افم ميگه دوست دختر خوب كيه ؟ ميگم اوني كه تند تند بوس بده	AbeL	_Nima	Bandar-e-Abbas			
من چايى ميخوام	Babak	bagoori	گوگوريو			
كاش ما آدم ها هم مثل گربه ها با چند لحظه بو كشيدن ميفهميديم كه هر آشغالي ارزش وقت گذاشتن نــــــداره	saghar yazdani	sghryzd	not-given			
حرف آخر با مزدوران کودتا	Alireza	alirezahn	Tehran			http://fb.me/Qj6ZpIAG
نمونه فرم قرارداد برای توسعه دهندگان وب شماره via	Amir Madadi	Amirmadadi	Sydney		@wordpressdotcom	http://t.co/NcxMvPR2
farsi ایران موج حمایت کورکورانه از میر حسین موسوی در بین نسل جوان فقط به خاطر مخالفت با احمدی نژاد به نظر شما کار درستی است؟	Amir Madadi	Amirmadadi	Sydney			
جدایی نادر از سیمین برنده شیر طلایی جشنواره برلین شد	kamran ...	kamran_sabz_66	not-given			
گند میزنم، گند میزنی؟	Pirate B	pirate37b	not-given			
مرسی مرسی مرسی ی	Pirate B	pirate37b	not-given		@iMoh3n	
اين تراكت رو ببين election	shiran	shiran9010	not-given	#TABRIZ,#tehran,#Mousavi,#NO2IR,#iranuprising,#news,#iran,#iranelection,#SoG		http://www.box.net/shared/sailfvl969
روز قدس با شعار مرگ بر اصل ولايت فقيه دوباره به خيابان مي آييم election	shiran	shiran9010	not-given	#TABRIZ,#tehran,#Mousavi,#NO2IR,#iranuprising,#news,#iran,#iranelection		
تقصیر تو نیست که بابات اشتره	بوق بوق	buuuugh	ایران.		@lodmillaa	
یه بار سراغمو گرفتن هول شدم گریه کردم	بوق بوق	buuuugh	ایران.			
خیلی وقته دختری ندیدم که دست زیره چونه نباشه وولک چتونه دوئَل	بوق بوق	buuuugh	ایران.			
اون جوکه که جوابو میدونسه بیسکوییته و میخواسه رد گم کنه میگه یه کوییت دو کوییت بیس و یک کوییت هه هه	بوق بوق	buuuugh	ایران.			
دختره خودشو کیفشو و کفششو رو هم میذاشتی سالش نمیشد تو کیوسک تلفن شل شده بود و خنده های مشکوک میزد	بوق بوق	buuuugh	ایران.			
سرشو با موز همو اوردم	آکبند	AkeAk	مقبره			
دیدهمه ازین روبه اون رومیشه و دیگه زیبایی ظاهریش براشون مهم نی فقط با همون صورت دیده میشن البته من اینطوری میبینم	آکبند	AkeAk	مقبره			
نخیر اشتبا گفتی امروز حالم خسته اس میره بخوابه	آکبند	AkeAk	مقبره			
دیونه نشم بهتر ازینم نخواهم شد	آکبند	AkeAk	مقبره			
امسال اصلا بارون نیومد اگه سال بعد اومد دعواش خواهم کرد	آکبند	AkeAk	مقبره			
یار مهربانم نادانو خوش بیانم	آکبند	AkeAk	مقبره			
ارزش هر کس به قدر خرد اوست	مهزیار	mahziar	Iran - Tehran			
اگه به موقع شروع کنی، در آینده نیاز به دویدن نداری	مهزیار	mahziar	Iran - Tehran			
bbc فارسی ايران هر کسی شمایل نمی‌شود ؛ حاجی بخشی چنان که بود ‎	Daniel Jafari	DanielJafari	Philadelphia, Pennsylvania 			http://t.co/WDludZWC
تی ام بکس را عشق است tm bax music selahe mast	Daniel Jafari	DanielJafari	Philadelphia, Pennsylvania 			http://t.co/iAcubB2F
مقاله خواندنی مجله فوربز درباره ایده ای که اقتصاد دنیا را به گروگان گرفته است «بیشینه کردن سرمایه سهامدار» نویسنده… https t co gfrcaj	Daniel Jafari	DanielJafari	Philadelphia, Pennsylvania 			
روزها چقدر تکراری و خسته کننده شده	omid1368	arashtanh	not-given			
احسان گرفت خوابيد ؛ روى مبل ، توى هال ، دراز كشيدم و فكر مى كنم كه تا كى غم زمانه ؟	Arash Azadi	e11even	Mashhad			
از فكر كردن به اينكه فاميل عادل هم آزاديه تعجّب كردم ؛	Arash Azadi	e11even	Mashhad			
عبّاس كُزازى و دختر كُرمانجى براى ثبت در تاريخ	Arash Azadi	e11even	Mashhad			
دلم خواهر هم ميخواد ؛ خواهر ِ خوشكل ِ كوچيكتر	Arash Azadi	e11even	Mashhad			
اينجانب ، پاتيل ِ آزادى	Arash Azadi	e11even	Mashhad			
اونی که نمیده ؛ دوبار میده ؟	Arash Azadi	e11even	Mashhad			
عکســـــت را نگــــاه میکنــــم آخ کــــه ایــــن عکـــس پیـــر نمیشـــود امــــــا پیـــــــرم میکنــــد پیمان	pemmy_m	pemmy_m	not-given			
اصن شما راس میگین، من هرزه ام، هرروزم به یکی دل میبندم، ماشالا شما که واردین خوب برینین بهم مخاطب خاص	нαηιєн ✌	BitterHani	یه منطقه ی ترک نشین			
گوگل مپ هم به درد لاي جرز ديوار ميخوره	ميم شين	MOOMOSHI	مشهد			
اکوفون هم وصل نمیشه	جوان ايراني	javanirani	ايران - گلستان			
در حال فرو ریختنم اسمایلی برج‌های دو قلو	جوان ايراني	javanirani	ايران - گلستان			
خواب هم چيز خوبيه	جوان ايراني	javanirani	ايران - گلستان			
تست سرعت	جوان ايراني	javanirani	ايران - گلستان			
ایران جدید ۶ ساله شد	mohamad latifi	iranew	iran-arak			http://t.co/BL5QguIM
۸ راه برای مقابله با نا امیدی	mohamad latifi	iranew	iran-arak			http://goo.gl/fb/svK1s
معنی ماه های ایرانی	mohamad latifi	iranew	iran-arak			http://goo.gl/fb/F9a0x
مثلاً میخوام درس بخونم کتابایی که بهم ربط ندارن رو میخونم من آدم بشو نیستم	Ali G	damonist_org	not-given			
باید ارتباط توییتر و فیسبوکم رو بردارم یه چیزایی هست توییت کردنیه ولی به درد فیسبوک نمیخوره	Ali G	damonist_org	not-given			
یه سری از دوستای عزیزم دیگه نیستن شایدم من نیستم	Eldoone	Eldo0ne	Tehran,Iran			
به دلیل پارازیت شدید بازی رو با تصویر بیت دارم میبینم	میر علی سبزینه	MirAliSabzineh	not-given			http://t.co/HLnLgsLd,http://t.co/xO0PwJoR
گوگل کروم من خعیلی باحال شده صفحه هوم پیج فرفر و مثل فیس کرده ، دیگه برای دیدن فید های قدیمی تر نیازی نیست pic	میر علی سبزینه	MirAliSabzineh	not-given			http://t.co/53xP5cs6
شما که تا الان بیدار موندید خب ساعت دیگه هم بیدار باشید بازی والیبال ایران آرژانتین رو ببینید	میر علی سبزینه	MirAliSabzineh	not-given			http://t.co/4Ge53Yth
جوون بودم میرفتم هیات سینه زنی و زنجیر زنی همه به عشق غذای امام حسین میرفتن ، من خونه شام می خوردم بعد از شام	میر علی سبزینه	MirAliSabzineh	not-given			http://t.co/LqOpKWzb
سه روز تعطیلی هم تموم شد حالشو بردیم اساسی اما مثل سگ پشیمونم که چرا نزدم فک مکشو بیارم پائین حسرتش مونده تو دلم دلدرد گرفتم	afshin alamdari	afshinjoel	 Towhidi Tehran			
به همه ی بارسایی ها تبریگ میگم دیگه هیچ حرفی ندارن رئالیها زدیم بازم	Samin Khanaki	khastetar	Tehran			
و باز هم کافه موسیقی، اول جان باتلر و باز هم کوئن	Samin Khanaki	khastetar	Tehran			
دامادت میاد دخترتو به آتیش میکشه	Mahyar	Mahyar91	Rasht			
این سوسول بازیا چیه تو کلاسای آموزش رانندگی؟ انگار دوباره دارم میرم کلاس کنکورررر	Mahyar	Mahyar91	Rasht			
تازه از باشگاه وامدم هنوز لباسامو در نیاوردم دوش آب گرم آی میچسبه	Mahyar	Mahyar91	Rasht			
واااااا مشکی چرا من همیشه دوست داشتم اتاقم مث دیوارا مهد کودک رنگ و وارنگ بود ، ولی نمی زارن	javad	javadolmamalek	iran		@zzzzzahra	
منظور شاعر واقعن چی بوده این باسن یا بادبزن	javad	javadolmamalek	iran			
سایتهای خبری توصیه شده برای شما به سایتهای مسدود می روید واحد cont	behzadian	behzadian	not-given			http://tl.gd/ln5c3
من گل رو نديدم رفته بودم دست به آب گل قبول نيس	ehajivand	ehajivand	not-given			
يه ال كلاسيكوي تماشايي رو خواهيم ديد يعني ؟	ehajivand	ehajivand	not-given			
آخ جون فردا پنج شنبه ست یه استراحت توپ به بدن می زنیم	Mahidoodi	Mahidoodi	ایران			
این راهی رو که تو داری می ری ما داریم برمیگردیم آخه فحش دادن هم افتخار داره	Mahidoodi	Mahidoodi	ایران			http://ff.im/lbCXg
ملت هم مائیدن گا رو با این لاستشون	Mahidoodi	Mahidoodi	ایران			http://ff.im/l8Jbk
از پنجره قطار دارم رعد و برق تو بیابون رو نگاه می کنم بیابون تو شب خیلی با ابهت	Mahidoodi	Mahidoodi	ایران			
ما که میدونستیم اینا دم در شرقی قرار داشتن که نیروهای خوددشون داخل مسجد پر کنند همون موقع رفتیم اونجا همینجور اتوبوس بود که سربازهایی	arash alilo	arash_26	iran.tehran			
من وثق بماء لم یظمأ امام علی علیه السلام	علیرضا	pineh2	not-given			
ملی نمیشه امکان نداره ما انقد بدبخت نیستیم	ghazal v	ghazal169	not-given			
زیرنویسشو دانلود کردی ؟	ghazal v	ghazal169	not-given		@ammarhzr	
ایییی خوابم میاد خواب خیلی خوبه	shiva 	shiva_pf	iran			
به طور کاملا مخفیانه امروز باعث ضایع شدن جمعی از جنوس مذکر محترم در کلاس ریاضی شدمd	shiva 	shiva_pf	iran			
دوستم ناراحته میام باهاش هم دردی کنم شوخی خنده رو میزارم کنار ازم ناراحت میشه،شوخی می کنم باهاش بازم ناراحت میشه	shiva 	shiva_pf	iran			
به باد حادثه بالم اگر شکست، چه باک خوشا پریدن با این شکسته‌بالی‌ها ‌	سمـــــاء	farzandkhak	not-given			
خواهريم زنگ زد دلم باز شد	سمـــــاء	farzandkhak	not-given	#الهام		
دکترسبز آزادی که نباشد هیچ فصلی بهارنیست	doctor sabz	drsabz	not-given			http://t.co/TCA26dK
شال گردنم داره تموم میشه آخراشه قشنگ شده احتمالا مجبور بشم برم قلاب بافی یاد بگیرم که به جای ریشه، تا گل بافته شده ازش آویزون باشه	Marzi	marmii4	not-given			
این است عصاره شعور کسانی که بر ایران حکومت می کنند فارس فیس farce face کاملا توصیف کننده تمام و کمال خصوصیات شان… https t co hmqieh	Daniel Jafari	DanielJafari	Philadelphia, Pennsylvania 			
مقاله فارین پالیسی با عنوان زبان جنگ در این مقاله به مواضع کاندیداهای حزب جمهوری خواه در قبال ایران پرداخته می شود و… https t co llbbme	Daniel Jafari	DanielJafari	Philadelphia, Pennsylvania 			
تو سايت ايکس دي اي هست بايد اول گلد کارت بسازي و بعد دانگريد کني به ورژن پايين تر قابل روت	Yaser Behrooz	YBehrooz	not-given		@kouche	
به کوری چشم شاه هوای شیراز مدیترانه ای همراه با بارشهای پراکنده شده	Milad	mili_corleone	ShiRaz!			
بفرمایید ماشین های الکتریکی آقای پی سی سن	Milad	mili_corleone	ShiRaz!			
مسأله ها چه سخت شدن تازگیا، قبلنا اینجوری نبود آبجی	Milad	mili_corleone	ShiRaz!			
چرا عصبی	khabarnews	khabar3	not-given		@baharakkk	
فردا صدایمان هرچه بلندتر قدمهایمان هرچه کوبنده تر فردا ۱۳ آبان روز رهائی است با مشتهای گره کرده پیش بسوی سرنگون کردن دیکتاتوری	tanineseda	tanineseda	not-given			
آمریکا ایران از تهدید نظامی سودی نمی‌برد	TehranReview	tehranreview	Amsterdam, the Netherlands			http://t.co/rbty3uhj
حسینیان اگر اصلاح‌طلبان نیایند باید با خودمان رقابت کنیم	TehranReview	tehranreview	Amsterdam, the Netherlands			http://t.co/zzXRaaTO
نماینده مجلس امروز چادر مشکی از بحث هسته‌ای برای ما مهم‌تر است	TehranReview	tehranreview	Amsterdam, the Netherlands			http://t.co/880tgod
رو تخت دراز کشیدم در پنجره رو باز گذاشتم و دوتا پتو رو خودم انداختم ستاد درست کردن شادی های الکی دی	خان دایی سیا siavash	sia96	Tehran			
روزی که مرخصی می گیری که استراحت کنی مامان می خواد خونه تکونی کنه	خان دایی سیا siavash	sia96	Tehran	#مورفی		
دعا نكن بهر كسي، اول خودت بعدن كسي	faraz masumian	faraz66	Tehran			
هر کجا خندیدیم زندگانی آنجاست	faraz masumian	faraz66	Tehran			
دنبالم نیا، اسیرم میشی ‏	faraz masumian	faraz66	Tehran			
کاش اون حیاط مال من بود هر روز خودم ابش میدادم نه باغبون	meDya	meDyaaaa	not-given			
برای نخستین بار پیوند چهره در بلژیک انجام شد	iranian.BE	iranianBE	Belgium			http://t.co/HfppZHCK
برای غلبه بر اضطراب دست به قلم شوید	iranian.BE	iranianBE	Belgium			http://t.co/G6hVCqCq
خمیر دندان مناسب برای دندان ها	iranian.BE	iranianBE	Belgium			http://t.co/3qV22CAF
ایران اپیدمی گسترش ایدز از راه جنسی رو به افزایش است	iranian.BE	iranianBE	Belgium			http://t.co/m1Ow5Tuu
رسیدم به مرز شکستن	sepand gholami	sepandcool	tehran			
روز قدس جرقه ايكوچك برانبارباروت نارضايتي هاي ملت ايران election	parandeazad	parandeazad	not-given	#iranuprising,#news,#iran,#iranelection,#SoG,#TABRIZ,#tehran,#Mousavi,#artesh		
در جمعه آخر ماه رمضان بر اين حكومت جهل و جنايت مي تازيم و به خيابان مي آييم	parandeazad	parandeazad	not-given	#TABRIZ,#tehran,#Mousavi,#NO2IR		
علت سقوط هواپیمای ارومیه معلوم شد خلبان ترکی بلد نبوده، برج مراقبت می‌گفته بیابان ده يعني بیابان است ولي خلبان فکر کرده برج میگه بیا بانده	Artin Roshan	Rtiin	Tehran, Iran			
گیج و مبهوت بین برف بازی رفتن‌و نرفتن	Artin Roshan	Rtiin	Tehran, Iran			
البته الان وقت درسه، تامسون باشه برا زنگ تفریح	Artin Roshan	Rtiin	Tehran, Iran			
منبع یورومونیتور	Aram	Araaam_M	WEB			http://t.co/qis0h2sF
لالا لالا گل خشخاش به یاد گرمی دستاش	Aram	Araaam_M	WEB			http://www.youtube.com/watch?v=lnuB63ZgMRA&feature=share,http://ff.im/FvoCF
رفیق لیبیایی ام میگه که تظاهرات مسالمت آمیز نه به درد شما ایرانی ها میخوره و نه به درد لیبیایی ها قذافی و pic	Aram	Araaam_M	WEB			http://ff.im/zszCq
شهاب ها طلا را به زمین آوردند	Pourya Shirazi	pouryashirazi	Toronto			http://t.co/5thdTjyl
آیا با تعطیلی مدارس ابتدایی در روزهای پنجشنبه موافقید؟	Nowbat-e Shoma	nowbat	London, UK			http://t.co/4wms693
پونه از کامنت ها می پرسه که مگه شما نمی دونستین تقلب می کنن تو انتخابات؟	Nowbat-e Shoma	nowbat	London, UK			
امضاي اين پتيشن مانع قتل عام دوباره فرزندان مردم ايران شويم	30morg	30morg95	not-given	#ashraf,#iranelection,#MEK,#Tehran		http://t.co/4KdYmmXبا
يادآور فرياد شكنجه شده ها در دخمه هاي سياهي	30morg	30morg95	not-given	#iranuprising		http://www.facebook.com/pages/مبارزان-آزادي-Mobarezan-Azadi/120932881261230خرداد
بعدشم اونی جذابه برام که دس نیافتنی بمونه	pedram	pedraammmm	tehran			
ما بریم که شب شراب نَیرزد به بامداد خمار	pedram	pedraammmm	tehran			
نباید رفت خیلی دور اما، فکرهای من بال دارند	صبحونه با چایی داغ	sobhoone	Tehran, Iran			
بلکه شاید دلشوره به سراغم بیاد انگار داره میاد حیف که دائم مقاومت میکنم، انگار عادتم شده، تا وقتی همه چیز خوب پیش میره مشکلی نیست	صبحونه با چایی داغ	sobhoone	Tehran, Iran			
یا حتی نه، هر چی باشه تابستون بعدش بخندی هم، بعد اون همه باد دیگه چیزی از گذشته یادت نمی آد	صبحونه با چایی داغ	sobhoone	Tehran, Iran			
ملت هر کاری خودش بخواد میکنه، بکشی نکشی خودتو، بخواد کاری کنه میکنه فوقش اینه از خجالتت زوری باهات راه میاد، ولی دلش راه خودشو میره	صبحونه با چایی داغ	sobhoone	Tehran, Iran			
آشناست تازه مطمعنم اگه بخوامش کاملاً موافق هستن اون لحظه شوکه شدم نشد از عمه ها بپرسم چرا؟	Mehdi Mousavi	Malemir	Ahwaz			
یاد یه توعیتری افتادم ها ها هاها	Maometto	amaliban	کجایم من ؟!!!!!			
ها والا اونجا دارن دنبال شوهر میگردن	Ali	Ali_korehbandi	Bushehr		@ghonboloddin	
خب یکم بیشتر از خودتون بگین	قهوه ایسم	Ghahveism	بيرجند پلاك 16			
جیش دارم البته نمی خواستم رسانه ایش کنم ولی خب دیگه خیلی شدید بود	قهوه ایسم	Ghahveism	بيرجند پلاك 16			
نگرانم	Hossein Dastaviz	dastaviz	not-given			
هفده اسفند هفتم شهداي بي نام و نشان تهران و مهاباد در همه ميدانهاي تهران و شهرهاي ديگر	pejvak armany	pejvak60	not-given	#Esfand,#iranElection,#green,#neda		
با دستگاههای بسیار پیشرفته زیپ شلوار را میکشیم بالا و همه چیز هم آرومه	Green Defender	greendefend	Tehran			http://wp.me/pN1js-at
liked خوشتیپ pic	Green Defender	greendefend	Tehran			http://ff.im/fJLVU
حمل موشک در مراسم سالگرد بهمن	Green Defender	greendefend	Tehran			http://wp.me/pN1js-7h
قلعه حیوانات معجزه ساندیس کارتون نیک آهنگ	Green Defender	greendefend	Tehran			http://ff.im/flGiI
گوش پاك كن و بگو	Reza Haji 	R_haji	not-given		@AliGondo0o	
ديدني هارو ديدم از صالح خداحافظي كردم از بجه هاي دانشكده حلاليت طلبيدم با رامين بسمت تهران از الان دلم براشون تنك شده	MehranR	MehranR	Tehran			
دانيال بدرقه كرديم دلم كرفت	MehranR	MehranR	Tehran			
امتحان با موفقيت انجام شد	MehranR	MehranR	Tehran			
از صب که موی مامانو رنگ کردم ،حالت تهوع دارم آخه این زهرمار چیه میمالید به خودتون؟حالا مامان من موهاش سفیده تویی که یه روز درمیون میریو میگم	Arepheh	Arepheh	not-given			
و مپوشان چهره با دستان خون آلود می شناسندت به صد نقش و نشان مردم	fereshte safari	tafreshiha	iran-tehran			
پنج صفت مداد پدر بزرگ، درباره چه می نویسید؟، درباره تو دخترم، اما مهمتر از آنچه می نویسم، مدادی است که ب	soroush	vista70	Iran			http://tinyurl.com/4mmxq68
یاد باد آنکه نهانش نظری با ما بود	Arashneyestani	mtwofa	not-given			
که من پاسخی چون تو می خواستم	Arashneyestani	mtwofa	not-given			
همه دست به دست دهیم به مهر بریم به مسعولین بدیم بلکن ول کنن سرعت اینترنت و	bashar	jo0aAd	not-given			
انتخابات؟ نمایندگان واقعی مردم ایران در زندانند علی ملیحی نماینده مردم لرستان v	Asemaan Sabz	Asemaan_V	#BeautifulIran	#IranElection	@emptyseatcampai	http://t.co/Elguepwf
شروع سال رو به همه کسانی که نو شدن سال رو احساس میکنند از صمیم قلبم شادباش میگم	Asemaan Sabz	Asemaan_V	#BeautifulIran			
چرا توی تویتر اصلا تگهایی مثل موزیک وجود نداره؟	Asemaan Sabz	Asemaan_V	#BeautifulIran	#پرشن		
خیلی وقت‌ه توییت نمی‌کنم ولی نمی‌دونم چرا توییت‌های قدیمی‌م هی می‌آد روی فید توییترم	محمد مهدی	mmmowlaei	تهران			
سالی که نکوست از بهارش تو پاچه‌ی آدمه	محمد مهدی	mmmowlaei	تهران			
همه جور موسیقی گوش می‌کنم ولی موسیقی متال و صدای داریوش، ابی و لیلافروهر رو نمی‌تونم تحمل کنم امسال تمرین می‌کنم به اینها هم بی‌حساسیت بشم	محمد مهدی	mmmowlaei	تهران			
زیزی‌گولو و گیگیلی رفتن حرف خصوصی بزنن کلاه‌قرمزی بیچاره پیچونده شد ای روزگار	محمد مهدی	mmmowlaei	تهران			
چند تا دوست جدید رو به فهرست دوستام اضافه کردم	ali sneer	ali_sneer	not-given			
خیلی گرممه	ali sneer	ali_sneer	not-given			
میدونم	elsa arian	toootfarangi	کانادا فعلا		@SHoBBar_MZ	
شبر جان عمه به خودت مسلط باش حالا اتفاقیه که افتاده	elsa arian	toootfarangi	کانادا فعلا			
حالا فکره رو کردی که چه طوری میخوان چمدون بیاری تو ؛	Golrokh Salamat 	GolrokhS	America 		@diazpaam	
انواع و اقسام توییتهای اخلاقی و غیر اخلاقی رو شاهد هستیم	ابر پاره پاره	howshani	shiraz			
امشب شام آش شیرازی داریم با نون سنگک دوبر خاش خاشی	ابر پاره پاره	howshani	shiraz			
سعی کن در تنهای به اعمال و کردار خودت فکر کنی تا پیشرفت کنی	Ramin 	raminnorowzilar	not-given		@dokhtare7darya	
سلام ما اووومدیم	mohammad jahanbakhsh	sir_mammad	not-given			
نبودی ندیدی پریشونیامو	Nariman Gharib	ListenToUs	Leicester, United Kingdom			http://t.co/LnS2iecB
نامه ی هفدهم محمد نوری زاد به رهبری با عنوان من در انتخابات شرکت می کنم جمعه ساعت بیست و سه در سایت رسمی منتشر میشود	Free Mahan Mohamadi	FreeMahan	not-given			
نه به انتخابات فرمایشی نمایندگان واقعی مردم ایران یا	Free Mahan Mohamadi	FreeMahan	not-given			http://t.co/SMVFpoFx
بدبختي ديگه هيچ جا هم رامون نمي دن كه تا بگي ايراني ميگن دروغگو ، تروريس ؛ دزد ، قاتل و بقيه صفات خوب انساني	s irani	Meysab	Iran			
پول يا ثروت ؟ مسئله اينست	s irani	Meysab	Iran			
تنهایی	Shayan	shayan	Tehran			http://t.co/nPIQJoTE
این نت بانک جدید بانک سامان چرا انقدر کنده جونی میده تا باز بشه	Shayan	shayan	Tehran			
اینم از کنکور	mostafa kiani	mostafakian	در اتاق			
عمرا اگه لنگمو پيدا كني	farshid hajian	farshid_fire	not-given			
یکی ام نیس یه کلوم باش درد دل کنیم	کلیشه	Kelishe	Iran			
روزگارمان سخت گه مرغي شده برادر	کلیشه	Kelishe	Iran			
فکر کن در آینده بگن بیماری های مشترک بین انسان و رایانه	کلیشه	Kelishe	Iran			
كمتر از سيصد و شصت و سه روز تا تمام شدن تقويم مايا	Aq Rez@	AqReza8	iran, mashhad			
‎ بايد را بيوفتى سوبرماركت آ بهشون بفروشى سفارش بكيرى	Aq Rez@	AqReza8	iran, mashhad		@Moh4mmad	
فيس بوك به كثافت كشيده شده، بو لجن ميده، اه اه اه اه، ميخوام عق بزنم	Aq Rez@	AqReza8	iran, mashhad			
بعضى وختا نبود حروف فارسى در موبايل ميره تا فاجعه اى در حد ناكازاكى رقم بزنه مراقب باشيد	Aq Rez@	AqReza8	iran, mashhad			
جواد كاظميان اعصاب نداشت آ تو يه مترى همجين كوبيد توبو كه انكار برتابه ديسكه	Aq Rez@	AqReza8	iran, mashhad			
ذهنم درگیره نمی تونم درس بخونم	Fari.sh	1Farish	Shiraz			
امشب حوصله ندارم زودی بخوابم	Fari.sh	1Farish	Shiraz			
یه بنده خدایی میخواست بیگ بنگ بیاره واسه ما ولی الان نیاره دیگه که گند میزنیم به امتحانا	ali hamedi 	alimessi10	36.304943,59.56511			
گوگل بالا نمیاد	ali hamedi 	alimessi10	36.304943,59.56511			
بچه ها یکی یه اکانت وی پی ان تست بده که یکی دو دقیقه وصل بشه ضروریه	ali hamedi 	alimessi10	36.304943,59.56511			
برم رختخواب رو بیارم تو حال که فردا مامان بیدارم کنه درست وگرنه خواب میمونم	ali hamedi 	alimessi10	36.304943,59.56511			
فرق می کنه به هر حال من نظرمو گفتم ممکن هم هس اشتباه بکنم دعوا نکن با من من حالم خوب نیس	زوری	ZiiiEk	not-given		@honismack	
دستی از غرب برون اید و کاری بکند، برنامه ای از اکبر گنجی election	kalaaq	kalaaq	not-given	#iran,#iranelection		http://t.co/P0SsYOOP
پليس هاي فدرال دنبالمان هستن	Godfather	Pedar_khandeh	Iran			
یکی از دراویش سلسله نعمت الهی منو پوک کرده ، پوک کردن یک درویش یعنی چی ؟ همون نعره ها بزدند نیست ؟	Ali lotfi	Alilotfix	Tehran			
اينم باز يه سوتي ديگه اين بار از	انجمن سوژه های ایران	anjomane	not-given			http://t.co/NEBXEOt3
فقط یه خطشو خوندم همونم که که خوری بلافصل بود قبول دارم	baabak abn	Bbk_Abn	not-given			
پشمام دوباره دراومده	baabak abn	Bbk_Abn	not-given			
شیکمم میخاره	baabak abn	Bbk_Abn	not-given			
آمریکا مجبور شد برای امتیاز دادن به آخوندهای ایران ،علیرغم اینکه علاوی نفر برنده در انتخابات عراق بود ، مالکی را سر کار بیاورد	علی دیانتی	Dianaty222	not-given			
مالکی عراق را حیاط خلوت آخوندها کرده اوباما به ایران هشدار میدهد وآخوندها میدانند هشدارها همه تو خالیست به پیشبرد پروژه اتمی ادامه میدهند	علی دیانتی	Dianaty222	not-given			
سرم سرش سرمون درد ميكنه در واقع	Far:Dn 	FarDno	Tehrun			
چرا با اینکه میبینم هیشکی جوابم رو نمیده باز سوال میکنم ؟	Far:Dn 	FarDno	Tehrun			
آقا خیلی چاکریم	John	karafarini	not-given		@afssai	
کنجکاو شدم، می تونم بپرسم موضوع چیه؟	John	karafarini	not-given		@aminsabeti	
نماینده دیر و کنگان در مجلس میگوید صیادان بوشهر بدلیل گران شدن سوخت بعد از اجرای طرح یارانه ها بیکار شده اند	abu_bis / abu_xales 	abu_xaIes	iran	#IranElection		
دوس داشتن که دلیل نمیخاد پی	hosein	2TaRafe	shiraZ		@SinaSdn	
ملوانان ایرانی توسط نیروی دریایی آمریکا از چنگ دزدان دریایی آزاد شدند بزرگ دی	hosein	2TaRafe	shiraZ	#شیطان		
تاریخ از ما به عنوان نسل طلایی توعیتر ایرانی نام خاهدبرد	hosein	2TaRafe	shiraZ	#جدی		
پایه صندلی رو سیم هدفونم بود صداش کم شده بود	hosein	2TaRafe	shiraZ			
كنون دانشگاه در سراسر كشور از روزارديبهشت حمايت كردند	satareh.neda	satarehneda	not-given	#iranuprising,#iran,#25ordibehesht		http://i.imgur.com/VYWJb.jpgتا
نحسي خامنه اي رو شب چهارشنبه سوري مي ديم به آتيش	satareh.neda	satarehneda	not-given	#IranElection,#Esfand		
می دونم ممکنه جفت پا بیای تو حلقم اما دوای دردت تماشای ویدئوی عباس مارسفیده	Kutlas	Kutlas_e_Kabir	not-given		@elhammoin	
تو فیس بوکم واسه اونایی که خارج هستن و توی یه کشور دیگه هی بنویس به برنامه بذاریم همو ببینیم	Kutlas	Kutlas_e_Kabir	not-given		@ammarhzr	
