देश विदेश भारतीय सुहागिनों तीज क़ी हार्दिक शुभकामना	Sudhir Karan	SudhirCcl	Ranchi, Jharkhand, India			
सिर्फ़ सब्जी नहीं भिंडी	MeriKhabar.com Hindi	MeriKhabar	Noida			http://t.co/sfaOFDNI
रोजगार बढ़ी	MeriKhabar.com Hindi	MeriKhabar	Noida			http://t.co/PnieJYGw
निकाय चुनावों लिए तैयार महाराष्ट्र	MeriKhabar.com Hindi	MeriKhabar	Noida			http://t.co/bi2eC7Dg
मेरे साथ पाक सेना प्रमुख जैसा बर्ताव	MeriKhabar.com Hindi	MeriKhabar	Noida			http://t.co/tMYwe6n1
सिडनी टेस्ट चायकाल आस्ट्रेलिया	MeriKhabar.com Hindi	MeriKhabar	Noida			http://t.co/NzLNLWDh
अंडमान निकोबार द्वीपसमूह में पहली बार दीप पर्यटन महोत्‍सव	MeriKhabar.com Hindi	MeriKhabar	Noida			http://t.co/Ap5Ly6zf
उत्तर प्रदेश चुनाव मद्देनजर प्रशासनिक कसावट तेज	MeriKhabar.com Hindi	MeriKhabar	Noida			http://t.co/CVmdNH67
चुनावों में कड़ाई होगा नियमों पालन	MeriKhabar.com Hindi	MeriKhabar	Noida			http://t.co/r9fcEvCy
महेश भट्ट काम पाकर बहुत उत्तेजित हूं पोर्न स्टार सनी लियोन	MeriKhabar.com Hindi	MeriKhabar	Noida			http://t.co/xEMPrfpE
ढूंढते रहते हैं हमें भूल जाने तरीके सोचता हूं खफा होकर उनकी मुश्किलें आसान दूं	sushil kumar tiwari	sushilktiwari	NCR			
चाहे दोस्‍ती मुहोब्‍बत सूरत नहीं दिल होती सूरत उनकी खुद अच्‍छी लगने लगती जिनकी कद्र दिल हुआ करती	sushil kumar tiwari	sushilktiwari	NCR			
क्या फर्क पड़ता मैं कहूँगा उसे मान नहीं लोगे बेहतर मेरे बारे में फैसला करे अपनी सोच	sushil kumar tiwari	sushilktiwari	NCR			
तेरी बेरुखी छीन शरारतें मेरी लोग समझते हैं मैं सुधर गया हूँ	sushil kumar tiwari	sushilktiwari	NCR			
हमारी दुनिया मेरी भतीजी श्रुति पहला दिन	Sunny Kumar	sunny_mca	New Delhi			http://t.co/33tyEGlL
चिप्स कोला भोगें पिताजी मधुमेह भोगे बिटिया	Swapnil Bhartiya	kalkionhindi	india	#hindi		http://is.gd/i1MpK
खतरा	Swapnil Bhartiya	kalkionhindi	india	#hindi		http://is.gd/ffzUK
कन्या कुमारी	Swapnil Bhartiya	kalkionhindi	india	#hindi		http://is.gd/eiOaJ
new post जौर्जिया में बीटी कपास नहीं बोया जाता	Swapnil Bhartiya	kalkionhindi	india			http://tinyurl.com/28xc3yo
गुरुत्वाकर्षण लैंस	Swapnil Bhartiya	kalkionhindi	india	#hindi		http://is.gd/dyWHm
दुःस्वप्न	Swapnil Bhartiya	kalkionhindi	india	#hindi		http://is.gd/dmtb6
कल्किआन सामान्य साहित्य प्रकाशित करेगी	Swapnil Bhartiya	kalkionhindi	india	#hindi		http://is.gd/dl5Yn
भगवान पाने सिर्फ उत्तम मार्ग अपने कर्म अपना भगवान मानिए	Rahul Sharma	bindassladka	New Delhi			
अन्ना जीत बनाम भ्रष्टाचार प्रैक्टिकल बेझिझक शिवेंद्र कुमार सुमन ब्लॉग नवभारत टाइम्स via	Rahul Sharma	bindassladka	New Delhi		@nbtonline	http://t.co/mELnBv2
गिरफ्त में रेपिस्ट नपुंसक विधायक	UP news	uptopnews	India			http://ping.fm/xCv5l
क्यों किया डॉक्टर अगवा	UP news	uptopnews	India			http://ping.fm/265BY
यमुना गांव वालों हवाले	UP news	uptopnews	India			http://ping.fm/9wiE4
इस्तीफा दें बालाकृष्णन जोशी	UP news	uptopnews	India			http://ping.fm/dtwPl
साधु सीडी स्कैंडलः लैपटॉप चोरी हुईं	UP news	uptopnews	India			http://ping.fm/K25XR
राजा भैया सहित गैंग्स्टर लगा जमानत अर्ज	UP news	uptopnews	India			http://ping.fm/p3gWM
शादी तोड़ी दुल्हन पिता गया हत्यारा	UP news	uptopnews	India			http://ping.fm/bEI1s
मुख्यमंत्री श्री चौहान लोकायुक्त मंत्रियों अधिकारियों प्रकरणों जांच अनुमति दें नेताप्रतिपक्ष plz visit	sarman nagele	mppostnewsviews	bhopal, Madhya Pradesh, India			http://t.co/psYQLkrt
सूचना प्रसारण मंत्रालय सचिव कहा सरकार मीडिया दूसरे पूरक plz visit	sarman nagele	mppostnewsviews	bhopal, Madhya Pradesh, India			http://t.co/Y6YZzwH8
मध्यप्रदेश सरकार राज्य में गैर उपयोगी पड़ी जमीन बैंक बनाएगी plz visit	sarman nagele	mppostnewsviews	bhopal, Madhya Pradesh, India			http://t.co/2ozAeAoI
मप्र मंत्रिपरिषद निर्णय प्रदेश में शहरी गरीबों लिए हजार मकान plz visit	sarman nagele	mppostnewsviews	bhopal, Madhya Pradesh, India			http://t.co/j7Zy9FIn
न्यूज पोर्टल एमपीपोस्ट आमने सामने में मप्र मुख्यमंत्री शिवराज सिंह चौहान नेताप्रतिपक्ष अजय सिंह plz visit	sarman nagele	mppostnewsviews	bhopal, Madhya Pradesh, India			http://t.co/tVW71i3g
राष्ट्रीय सेमीनार में विशेषज्ञों राय लोक सेवाओं प्रदाय प्रभावी क्रियान्वयन plz visit	sarman nagele	mppostnewsviews	bhopal, Madhya Pradesh, India			http://t.co/0NwwgJC7
मप्र ग्रामीण क्षेत्रों में सौर ऊर्जा रहे हैं विभिन्न कार्यक्रम plz visit	sarman nagele	mppostnewsviews	bhopal, Madhya Pradesh, India			http://t.co/PwKeAl7e
मध्यप्रदेश में विधायकों इच्छा मुख्य सचिव ज्यादा वेतन	sarman nagele	mppostnewsviews	bhopal, Madhya Pradesh, India			http://t.co/oI0bhDsv
जाने लिए जगह बाद  किसी बाद करने लिए	Love In Hindi	LoveInHindi	World Peace			
प्यार मास्क बिना नहीं रहते हैं	Love In Hindi	LoveInHindi	World Peace			
मुझे बताओ कौन पसंद हैं प्यार करता मैं तुम	Love In Hindi	LoveInHindi	World Peace			
प्यार दूरबीन माध्यम लगता माइक्रोस्कोप	Love In Hindi	LoveInHindi	World Peace			
कभी कभी दिल क्या देखता आँख लिए अदृश्य जैक्सन	Love In Hindi	LoveInHindi	World Peace			
मुझे चूमो तुम सितारों देखेंगे मुझे प्यार मैं उन्	Love In Hindi	LoveInHindi	World Peace			
उन्होंने कहा knoweth नहीं loveth लिए भगवान प्यार नहीं	Love In Hindi	LoveInHindi	World Peace			
सौंदर्य साथ प्यार में दिल विकास होता कभी पुराना	Love In Hindi	LoveInHindi	World Peace			
देव आनंद हमारे प्रिय अभिनेता श्रद्धांजलि	surendra kumar shukl	surendrashukl5	not-given			http://t.co/bSt2VcPY
बाबा क्षमा करना	surendra kumar shukl	surendrashukl5	not-given			http://t.co/KUdP4Uk7
भावी पीढ़ी चलो बनायें	surendra kumar shukl	surendrashukl5	not-given			http://t.co/K042lGYH
गुरु नानक प्रकाश पर्व	surendra kumar shukl	surendrashukl5	not-given			http://t.co/R25Eczak
मौन	surendra kumar shukl	surendrashukl5	not-given			http://t.co/QiOhKluT
ठंडी लम्बी रातों लुत्फ़ उठायें	surendra kumar shukl	surendrashukl5	not-given			http://t.co/tFuHEyKV
तेरी विन्दिया दमकी भ्रमर गीत	surendra kumar shukl	surendrashukl5	not-given			http://t.co/EPpxM3f
तेरी विन्दिया दमकी भ्रमर गीत	surendra kumar shukl	surendrashukl5	not-given			http://t.co/T2EBVYw
शीला जवानी थिरक उठी रानी	Indore News	indoretopnews	India			http://ping.fm/TLrNq
सुदामानगर में पांच मिनट में लाख लूटे	Indore News	indoretopnews	India			http://ping.fm/2gJqC
कमरा ाली होते बंद जाएगी बिजली	Indore News	indoretopnews	India			http://ping.fm/gG2nZ
घंटे देरी रवाना हुई पुणे एक्सप्रेस	Indore News	indoretopnews	India			http://ping.fm/z3nAi
अवैध कार बाजारों नकेल	Rajasthan News	newsrajasthan	India			http://ping.fm/tdl91
स्वतंत्रता दिवस लेकर बैठक	Rajasthan News	newsrajasthan	India			http://ping.fm/KWzHB
मॉडल प्रदर्शनी आयोजन	Rajasthan News	newsrajasthan	India			http://ping.fm/1ezXG
वुमेन हॉस्टल में प्रवेश लेकर टकराव	Rajasthan News	newsrajasthan	India			http://ping.fm/fjzAf
प्यासों लिए पानी लेकर जाएगी ट्रेन	Rajasthan News	newsrajasthan	India			http://ping.fm/Gi1kO
नर्सिग छात्रों खुदकुशी	Rajasthan News	newsrajasthan	India			http://ping.fm/scrmv
छीजत बढ़ा रहे हैं हजार खराब मीटर	Rajasthan News	newsrajasthan	India			http://ping.fm/yWkUP
इंजीनियरिंग में	mintu kumar	mintu7india	india. delhi			http://career7india.com/index.php?option=com_content&view=article&id=110&Itemid=90
दिमाग सिकुड़ने बढ़ती भूख	mintu kumar	mintu7india	india. delhi			http://career7india.com/index.php?option=com_content&view=article&id=335&Itemid=112
क्या विकीलीक्स	mintu kumar	mintu7india	india. delhi			http://career7india.com/index.php?option=com_content&view=article&id=333&Itemid=111
लालबत्ती लगी गाड़ी तलाश में जुटी पुलिस	Haryana news	haryanaallnews	India			http://ping.fm/CE6P2
धूमधाम मनाया लोहड़ी पर्व	Haryana news	haryanaallnews	India			http://ping.fm/hjBGe
सड़क हादसे में बाल बाल बचे मंडल कमिश्नर	Haryana news	haryanaallnews	India			http://ping.fm/sYWxv
नौकरी लिए परीक्षा प्रणाली में बदलाव	Haryana news	haryanaallnews	India			http://ping.fm/XYk4O
जमाखोरों कसी जाएगी नकेल	Haryana news	haryanaallnews	India			http://ping.fm/W9iQF
जनस्वास्थ्य मंत्री सुनेंगे लोगों सम�	Haryana news	haryanaallnews	India			http://ping.fm/d7fnV
युवा समाज में जागृति लाएं कर्मवीर	Haryana news	haryanaallnews	India			http://ping.fm/YDwZk
मारपीट आरोपी गिरफ्तार	Haryana news	haryanaallnews	India			http://ping.fm/Ao7Pb
मांगों लेकर ठंड में डटे रहे एफसीआई वर्�	Haryana news	haryanaallnews	India			http://ping.fm/clyl1
आशा वर्कर्स मिले टिप्स	Haryana news	haryanaallnews	India			http://ping.fm/1xIbQ
रिसाल सिंह पंचतत्व में विलीन	Haryana news	haryanaallnews	India			http://ping.fm/pW0AK
लतीफ़े	Shambhu Kumar Yadav	sham2cool	not-given			http://newshunt.com/share/10041850
मंगल ग्रह बहते पानी तस्वीरें	Shambhu Kumar Yadav	sham2cool	not-given			http://t.co/OaWl7Fk
yashpal singh advocate rampur maniharan मेँ हुए जिला पँचायत सदस्य बीडीसी ग्र	YASHPAL SINGH	Yashpaladvocate	RAMPUR MANIHARAN U.P. INDIA			http://t.co/FGJghYA
nehru dynasty exposed सोनिया गाँधी कितना जानते हैं भाग	hindu mahasabha 	a_b_h_m_s	delhi			http://t.co/pgnYO4f1
अखिल भारत हिन्‍दू महासभा अल्लाह मुहम्मद धोखा दिया	hindu mahasabha 	a_b_h_m_s	delhi			http://t.co/z5kYVA8n
अखिल भारत हिन्‍दू महासभा रसूल लीला इस्लामी कामसूत्र	hindu mahasabha 	a_b_h_m_s	delhi			http://t.co/3E7AxAKq
अखिल भारत हिन्‍दू महासभा क्‍या बच्‍चे इन्‍हें चाचा नेहरू कहेंगे	hindu mahasabha 	a_b_h_m_s	delhi			http://t.co/DtG6ejey
फेसबुक ट्विट्टर टिप्पिणियाँ करें क्या करें आदमी थप्पड़ थोड़ी मार सकता हैं	Maheshwar Pratap	TheMaheshwar	Haldwani			
insurance वाले क्या गज़ब ढाते हैं लोगों बीवियों पास घंटो बैठकर पति मरने फायदे समझाते हैं	Maheshwar Pratap	TheMaheshwar	Haldwani			
येद्दि जमीन घोटाले बाद अपना निर्णय वापस लिया फ़िर जेल में…मनमोहन चिदम्बरम अभी लाइसेंस रद्द नहीं किये हैं। हो…	Maheshwar Pratap	TheMaheshwar	Haldwani			
महेश भट्ट बीवी पाकिस्तानी इसका बेटा चितांबरम वजह गया जिसने हेडली मदद	Maheshwar Pratap	TheMaheshwar	Haldwani			
बिहार यूपी दिल्ली समेत देशभर में बड़े धूमधाम मनाया रहा महापर्व शाम डूबते सूर्य अर्घ्य दिया जाएगा	pankaj kumar sharma 	PankajVenky	not-given			
खुफिया एजेंसी बंगाल में अलर्ट जारी किया बंगाल में बांग्लादेशी आतंकी घुसे दुर्गा पूजा दौरान सकते हैं धमाका	pankaj kumar sharma 	PankajVenky	not-given			
अण्णा समर्थकों संसद घेरो नारे लगाए पंकज कुमार शर्मा एसोसिएट प्रोड्यूसर आउटपुट एवं टिकर जीएनएन न्यूज़	pankaj kumar sharma 	PankajVenky	not-given			
सरकार कुछ लोग बातचीत नहीं चाहते सिब्बल चिदंबरम बातचीत नही करना चाहते सीसीपीए बैठक में दोनों विरोध किया केजरीवाल	pankaj kumar sharma 	PankajVenky	not-given			
सिर्फ बातचीत क्या होता पाकिस्तान भारत साथ सही पेश आना चाहिए पाकिस्तान दोहरी नीति भारत खूब समझता	pankaj kumar sharma 	PankajVenky	not-given		@mhonenews	
कांग्रेस लिए प्रचार रहे हैं सावधान अगर देश चिंता इसी कांग्रेस वहां बांग्लादेशियों बढ़ाया	Onkareshwar Pandey	Editoronkar	Delhi		@MaheshNBhatt	
mmrda ground में भीड़ नहीं जूट पाने अन्ना टीम नया पैंतरा बाबा रामदेव साथ आने न्योता दिया	Awadhesh Kumar Singh	aks_ballia	Lucknow, India		@IBNLiveRealtime	
mmrda ground में भीड़ नहीं जूट पाने अन्ना टीम नया पैंतरा बाबा रामदेव साथ आने न्योता दिया	Awadhesh Kumar Singh	aks_ballia	Lucknow, India		@swamiramdev	
mmrda ground में भीड़ नहीं जूट पाने अन्ना टीम नया पैंतरा बाबा रामदेव साथ आने न्योता दिया	Awadhesh Kumar Singh	aks_ballia	Lucknow, India		@ndtv	
mmrda ground में भीड़ नहीं जूट पाने अन्ना टीम नया पैंतरा बाबा रामदेव साथ आने न्योता दिया	Awadhesh Kumar Singh	aks_ballia	Lucknow, India		@digvijaya_28	
wrote first poem breach candy hospital august इसे आपके पिता अपनी आत्मकथा में अनुवाद किया	HARISH BURNWAL	hcburnwal	not-given		@SrBachchan	
नहीं रहे गजल सम्राट जगजीत सिंह	nalin prashant	info_nalin	not-given			
बिहार खाद्य निगम प्रबंधक घूस लेते गिरफ्तार राज्‍यवार खबरें via	JAAGOO... INDIA	PADHLOINDIA	not-given		@AddThis	http://t.co/a24bGtu
भ्रष्टाचार भारत छोड़ो नारा देंगे अन्ना navbharat times via	JAAGOO... INDIA	PADHLOINDIA	not-given		@nbtonline	http://t.co/O7SDvx1
माँ माँ शब्द छिपा जिसमे अनोखा संसार माँ शब्द आँचल में जिसकी सुकून सारे जहाँ	Sonal Panwar	senoriita31	Rajasthan			
॥ॐ॥सुख शान्ति एवं समृध्दि मंगलकामनाओं साथ एवं परिजनोँ deepawali हार्दिक शुभकामनाएं ॥ॐ॥	uttam kumar	iuttamkumar	just beside my phone :)		@singer_shaan	
॥ॐ॥सुख शान्ति एवं समृध्दि मंगलकामनाओं साथ एवं परिजनोँ deepawali हार्दिक शुभकामनाएं ॥ॐ॥	uttam kumar	iuttamkumar	just beside my phone :)			
केन्द्र में देशद्रोहियों भरमार हैं भ्रष्टाचार भरमार हैं ऐसे में कुछ लोग कैसे सकते हैं प्रधानमंत्री मनमोहन सिंह ईमानदार हैं।	sachin	2011skb	Hanumangarh			
करता हैं वापिस बच्चे जायें याद आते हैं दिन कोई फिक्र नहीं	sachin	2011skb	Hanumangarh			
घोटालों सरकार लायेगी बजट देश लिए अपने लिए	sachin	2011skb	Hanumangarh			
युवतियों तेजाब फैंकने घटना निदंनीय हैं। अपराधों ग्राफ इतना गया हैं दिल्ली सेना हवाले देना चाहिए।	sachin	2011skb	Hanumangarh			
दाता पुकार मेरी संदीप्ति जिला बुझती हुई शिखा संजीवनी पिला दे।	Dr A K Singh	aktwittt	patna			
कोई मुझे बता क्या रहा मुँह छिपा तिमिर में क्यों तेज रहा	Dr A K Singh	aktwittt	patna			
अगर नहीं रोज नेता बुद्धिजीवी पत्रकार टीवी आखिर क्या सिद्ध करना चाहते हैं	Dr A K Singh	aktwittt	patna			
भूखे अपढ़ नग्न बच्चे क्या नहीं तुम्हारे में कहता धनी कुबेर किन्तु क्या आती तुम्हें शरम लगे में दुखियों	Dr A K Singh	aktwittt	patna			
दुल्हन ससुराल वालों दहेज रही मुकदमा करके जैल डालो तिहाड़ स्विस एटीएम टार काट वंदे मातरम	Kanwrajsingh rathore	Kanwrajsingh	not-given			
मरते उलझके किनारों दुःख उनपर होता बीच समंदर में फ़ना होना किस्मत बात	Kanwrajsingh rathore	Kanwrajsingh	not-given			
भारत में भ्रष्ट लोकतन्त्र लोकतन्त्र नहीं।	balbir jinjwaria	bjinjwaria	Balan, Churu			
मेरा दिल कभी टूटेगा नहीं हजारे desh via	Raj Kumar Tiwari	tiwari_rkumar	not-given		@AddThis	http://t.co/c9831ny9:,http://t.co/COkmpF9D
लम्हों सफ़र तुम शामिल	Dr. jenny shabnam	jennyshabnam	new delhi, india			http://t.co/v7kd0yS
भगत सिंह लिए क्रांति मायने नेटवर्क via	Dr. jenny shabnam	jennyshabnam	new delhi, india		@AddThis	http://t.co/L3cYyis
लम्हों सफ़र क्या मैं आज़ाद हूँ kya main aazaad hun	Dr. jenny shabnam	jennyshabnam	new delhi, india			http://goo.gl/b/dpFM
वक़्त सीने अपनी कहानी लिख जायेंगे	Dr. jenny shabnam	jennyshabnam	new delhi, india			
भाजपा संसद विशेष सत्र बुलाने दबाव बढ़ाया	Samay Darpan	samaydarpan	INDIA			
samay darpan ज्योतिष उससे जुड़े भ्रम	Samay Darpan	samaydarpan	INDIA			http://t.co/7bIYusU
धर्म संस्कृति दूसरे परिपूरक हैं	Samay Darpan	samaydarpan	INDIA			http://www.samaydarpan.com/June2011/dharmadhayatm.aspx
मुलायम कहा बाबा सरकार	Samay Darpan	samaydarpan	INDIA			
आरएसएस चंगुल निकलें योग सिखाएं बाबा	Samay Darpan	samaydarpan	INDIA			
खोई साख हासिल करना चाहेंगे फ्लेचर	Samay Darpan	samaydarpan	INDIA			
पाक सामने आयरिश हुए फेल	Samay Darpan	samaydarpan	INDIA			
बिहार पंचायत चुनाव वें चरण मतदान जारी	Samay Darpan	samaydarpan	INDIA			
उत्तर प्रदेश तवज्जो में दिखा चुनाव	Samay Darpan	samaydarpan	INDIA			
चुनाव सुधार प्रयोग गोवा वाल्पोई सीट	Samay Darpan	samaydarpan	INDIA			
अनोखी तस्वीर चित्र देख रहे हैं कुछ देर लिए आपको आश्चर्च्कित देगा लेकिन सही	Jitmohan Jha (Jitu)	jitmohanjha	Bangaon, Saharsa, Bihar			http://t.co/6n8VdyPG
इप्टा समीक्षा में अहम मसले हुई चर्चा भारतीय नाट्य संघ इप्टा दूसरे दिन मंगलवार वक्ताओं प्र	Jitmohan Jha (Jitu)	jitmohanjha	Bangaon, Saharsa, Bihar			http://t.co/oixcuKhe
गजल	Jitmohan Jha (Jitu)	jitmohanjha	Bangaon, Saharsa, Bihar			http://t.co/OieA3Urb
गजल	Jitmohan Jha (Jitu)	jitmohanjha	Bangaon, Saharsa, Bihar			http://t.co/7mcpoeGs
गजल	Jitmohan Jha (Jitu)	jitmohanjha	Bangaon, Saharsa, Bihar			http://t.co/Mi5mqI7Y
गजल अजय ठाकुर मोहन	Jitmohan Jha (Jitu)	jitmohanjha	Bangaon, Saharsa, Bihar			http://t.co/OAwplX01
अन्ना क्या होगा	ANIL VERMA	ANILRLD	not-given			
नहीं होता ऐसा बलास्ट नहीं मरते लोग। यदि कोर्ट में लगा होता सीसी टीवी मेटल डिटेक्टर स्केनर। प्लीज सरकार जल्द सभी पब्लिक पलेस लगाए।	Amit Kumar	amittanish	New Delhi			
पेट भरा होता साल जश्न खाली पेट नहीं new year celebration fed	sudhir kataria	KatariaSudhir	Jaipur			http://t.co/Cmcydw2p
reading हिंदुओं सावधान भारतका इस्लामिकरण करनेके जिहादियोंकेधमकीयुक्त पत्रक आपके घरमें	मंगलमय	mangalmaya	अम्बाला/कालका (हरियाणा)		@Hindujagrutiorg	http://t.co/OgAsiHnH
वोट मामले में बोलना चाहा कांग्रेस मंत्रियों कांग्रेस सदस्यों बोलने नहीं दिया	gaurav rajora	rajoragaurav	not-given		@Mrityunjoykjha	
वोट मामले में बोलना चाहा कांग्रेस मंत्रियों कांग्रेस सदस्यों बोलने नहीं दिया	gaurav rajora	rajoragaurav	not-given		@HinduismToday	
सरकार बहाना बनाने बजाए लोकपाल बनाए	gaurav rajora	rajoragaurav	not-given		@DalaiLama	
सरकार बहाना बनाने बजाए लोकपाल बनाए	gaurav rajora	rajoragaurav	not-given		@juniorbachchan	
सरकार बहाना बनाने बजाए लोकपाल बनाए	gaurav rajora	rajoragaurav	not-given		@starnewslive	
सरकार बहाना बनाने बजाए लोकपाल बनाए	gaurav rajora	rajoragaurav	not-given		@punjabkesari	
महंगाई जमीन घोटाला सरकार लिए आइना होता	gaurav rajora	rajoragaurav	not-given		@PKesariOnline	
फ़िल्मी गाने बोल जिसने पाप नही किया पापी लगता दिन दूर नहीं देश	gaurav rajora	rajoragaurav	not-given		@MaheshNBhatt	
फ़िल्मी गाने बोल जिसने पाप नही किया पापी लगता दिन दूर नहीं देश	gaurav rajora	rajoragaurav	not-given		@starnewslive	
वक्त कीमती होता वक्त कीमत आदमी पूछो टॉयलेट बाहर खड़ा अंदर वाला बोले मिनट	Pappu	HappyPappu	iNDIA			
रामयुग में दूध मिला कृष्णा युग में कलयुग में मिली चाय फूक मार	Pappu	HappyPappu	iNDIA			
हमसे कहो दिल लगाना छोड़ खुदा कहो हसीनो बनाना छोड़	Pappu	HappyPappu	iNDIA			
बेचारे लालू में हिम्मत कहाँ अंग्रेजों टाइम में पैदा होने	Vijay	Bhartiyavk	NJ		@AnupamPkher,@Sinhageet	
चिट्ठी कोई सन्देश जाने कौन देश जहाँ तुम चले दिल लगा ठेस जाने कौन देश जहाँ तुम चले	Vijay	Bhartiyavk	NJ		@Kumarvishwas,@jagjitsingh	
विक्षिप्त व्यक्ति हरकत जनतांत्रिक बहस हिस्सा बनाना इसमें किसी तरह अर्थ निकालना मीडिया टुच्चापन	Lalit Mewara	mewaralalit	Jodhpur		@TheRahulMehra	
सलामी बल्लेबाज बार फिर टीम इंडिया अच्छी शुरुआत देने बाद पवेलियन लौट गए।	Lucknow Satta	LucknowSatta	Lucknow, Uttar Pradesh, India			
खबरों शोर में आपकी आवाज़ लखनऊ सत्ता हिन्दी दैनिक समाचार पत्र hindy daily news paper	Lucknow Satta	LucknowSatta	Lucknow, Uttar Pradesh, India			
प्यार दुलार कलंकित मां घोंटा लाडले गला strangulated mother was tarnished	sudhir kataria	KatariaSudhir	Jaipur			http://t.co/bKnoZxRt
क्या टीम अन्नाका असल एजंडा अजीज बर्नी via	Muhammedali Wafa	bazmewafa	not-given		@wordpressdotcom	http://t.co/eWO2C5OL
अन्ना वैचारिक आतंकवाद अमलेन्दु उपाध्याय via	Muhammedali Wafa	bazmewafa	not-given		@wordpressdotcom	http://t.co/v8QL4Kz4
लेक्चरर कॉन्सटेबल खुदकुशी navbharat times	nbtmumbai	nbtmumbai	Mumbai			http://fb.me/yLMs8Bp3
धमाकों रिपीट टेलिकास्ट गुस्साए सिलेब्रिटीज मुंबई वासी navbharat times	nbtmumbai	nbtmumbai	Mumbai			http://fb.me/Pd1CcW5c
जून एनबीटी सालगिरह है। अवसर अपने विचार हमारे साथ शेयर सकते हैं।	nbtmumbai	nbtmumbai	Mumbai		@AnupamPkher	
शराब पीने उम्र सीमा बढ़ाने बॉलिवुड नाराज navbharat times via	nbtmumbai	nbtmumbai	Mumbai		@nbtonline	http://t.co/T8kgKGl
समंदर में फैला तेल माफियाओं मायाजाल क्राइम मुंबई navbharat times via	nbtmumbai	nbtmumbai	Mumbai		@nbtonline	http://t.co/LicNtiM
खराब मौसम टला शाहरुख कार्यक्रम मोदी navbharat times via	rajesh kumar	marshalboby	nagwan patna bihar		@nbtonline	http://t.co/GAqB7bnt
पैर हिलाना मतलब खतरे घंटी navbharat times	rajesh kumar	marshalboby	nagwan patna bihar			http://t.co/AmLikf3P
रुपये पेट्रोल navbharat times via	rajesh kumar	marshalboby	nagwan patna bihar		@nbtonline	http://t.co/8oqHTuC2
अंधकार मस्तिष्क आकार बढ़ता via	rajesh kumar	marshalboby	nagwan patna bihar		@AddThis	http://t.co/IcarfzJO
संत चोला पहिन सम्पति collection संत समाज शोभा नहीं देता	bharat joshi	bharatjoshi	jodhpur,rajasthan, india			
अरुणाचल मुख्यमंत्री श्री दोरजी साथ हुआ हादसा सीख देता प्रमुख लोगों इंजिन वाले हेलिकोप्टर इस्तेमाल करना चाहिए	bharat joshi	bharatjoshi	jodhpur,rajasthan, india			
केरल सामाजिक न्याय एवं पंचायत मंत्री डॉक्टर एमके मुनीर कोझीकोड में आयोजित प्राचीन वार्षिक समारोह में दीप…	sunil a mishra	SunilPri1	maharatra			http://t.co/5V6n2dKK
यदि छोटी जोत खेती संभालने प्रयत्न होगा भारत खेती अपने संकट बाहर निकल आएगी।	Ramesh Kumar	RameshKumar69	not-given			http://t.co/zarzf2kd
महान गुरु गुरुनानक जिस नदी किनारे बैठकर किया सूखने कगार है।	Ramesh Kumar	RameshKumar69	not-given			http://t.co/ZNreJelt
संसाधनों दुरुपयोग हो। तरह प्रबंधन दशक अच्छी तरह चला।	Ramesh Kumar	RameshKumar69	not-given			http://t.co/Za6uDodE
उसकी देखभाल जिम्मा अपने पुत्र विवेक पिता नटवरलाल दिया था।	Ramesh Kumar	RameshKumar69	not-given			http://t.co/6ERQyDoa
मानसागर झील दुर्दशा शिकार थी। चार नाले जयपुर शहर गंदगी इसमें बरसों डाल रहे थे।	Ramesh Kumar	RameshKumar69	not-given			http://t.co/HvhOk0FY
नदी पिपराही जाफरपुर चन्दौली कन्सार पचनौर रक्सिया होते हुए रुन्नी सैदपुर रास्ते रही थी।	Ramesh Kumar	RameshKumar69	not-given			http://t.co/DN0bgtDp
घरों एवं गन्ने बचा हुआ बायोमास हजार करीब बैठता जिससे मेगावाट विद्युत तैयार सकती है।	Ramesh Kumar	RameshKumar69	not-given			http://t.co/RVkAgxhZ
अनन्तचतुर्दशी दिन जैन धर्म पहले बाल्बम्चारी भगवान श्री १००८ वासुपूज्य निर्वाण मोक्ष दिवस	Abhineet Jain	KingAbhineet	not-given			
उत्तम सत्य धर्मं परम सत्य जिस प्रकार नारियल भीतर इसकी सारभूत गिरी उसी प्रकार तेरे शरीर भीतर सत्यस्वरूप चेतन आत्मा	Abhineet Jain	KingAbhineet	not-given			
सभी बंधुओ लक्षण पर्व शुभकामनाएं जिनेन्द्र	Abhineet Jain	KingAbhineet	not-given			
सरकारी गल्ला खरीद केन्द्रों दलाल सक्रीय हैं	sanjai kumar dwivedi	Sanju2811indu	Kanpur U.P. ;INDIA			
क्या चोरों विश्वास करेंगे	sanjai kumar dwivedi	Sanju2811indu	Kanpur U.P. ;INDIA		@GHATOTKACH,@janlokpal	
जनता झांसे में नहीं आने वाली अभी आपको सत्ता नशा लेकिन जनता चुनाव में जवाब देगी	sanjai kumar dwivedi	Sanju2811indu	Kanpur U.P. ;INDIA		@janlokpal	
पार्टी प्रत्याशी लोकपाल समर्थन में शपथ पत्र उसे समर्थन वोट दें	sanjai kumar dwivedi	Sanju2811indu	Kanpur U.P. ;INDIA			
अन्ना भ्रस्टाचार कांग्रेस विरोध में धरना प्रदर्शन ठीक लेकिन इसका विकल्प बताइए वोट किसे देना	sanjai kumar dwivedi	Sanju2811indu	Kanpur U.P. ;INDIA			
माताजी	kumpsinghsolanki	kumpsinghrajput	mumbai		@Kesharchouhanजय	
